 opening                B        INT        GM       sum       avg    
accelerated dragon       40.00     16.00     24.00     80.00     26.67
advanced french           3.00     27.00     27.00     57.00     19.00
alapin sicilian          25.00     10.00     30.00     65.00     21.67
alekhines defense        65.00     38.00     42.00    145.00     48.33
benoni                   55.00     55.00     33.00    143.00     47.67
berlin defense           41.00     57.00      3.00    101.00     33.67
bongcloud                68.00     45.00      6.00    119.00     39.67
budapest gambit          51.00     40.00     43.00    134.00     44.67
caro kann                 4.00      3.00     18.00     25.00      8.33
catalan                  39.00     23.00     12.00     74.00     24.67
closed sicilian          21.00      5.00     26.00     52.00     17.33
danish gambit             5.00     22.00     39.00     66.00     22.00
dutch defense            29.00     32.00     26.00     87.00     29.00
english                  38.00     36.00     13.00     87.00     29.00
french defense           32.00     30.00     25.00     87.00     29.00
fried liver              11.00     41.00     38.00     90.00     30.00
giuoco piano             50.00     44.00     41.00    135.00     45.00
grand prix               26.00      4.00     31.00     61.00     20.33
grob                     58.00     53.00     49.00    160.00     53.33
gruenfeld                70.00     54.00      4.00    128.00     42.67
hippo                    46.00     39.00     36.00    121.00     40.33
jerome gambit            12.00     49.00     50.00    111.00     37.00
kings gambit             34.00     42.00     29.00    105.00     35.00
kings indian              6.00      6.00      5.00     17.00      5.67
latvian gambit           56.00     56.00     48.00    160.00     53.33
london system             2.00     12.00     20.00     34.00     11.33
marshall attack          42.00     25.00     10.00     77.00     25.67
najdorf                  47.00     35.00      2.00     84.00     28.00
nimzo-larsen attack      33.00     15.00     14.00     62.00     20.67
petrov                   48.00     19.00      8.00     75.00     25.00
philidor defense         71.00     46.00     28.00    145.00     48.33
pirc                     24.00     28.00     27.00     79.00     26.33
ponziani opening         43.00     16.00     35.00    139.00     46.33
portuguese gambit        52.00     50.00     37.00    139.00     46.33
queens gambit            18.00      1.00      9.00     28.00      9.33
reti opening             10.00     18.00     19.00     47.00     15.67
ruy lopez                16.00      7.00      1.00     24.00      8.00
scandi                    8.00     37.00     40.00     51.00     17.00
scotch                   19.00     11.00     21.00     51.00     17.00
sicilian defense          9.00      8.00      7.00     24.00      8.00
slav                     44.00     30.00     16.00     90.00     30.00
smith morra              13.00     14.00     34.00     61.00     20.33
sodium attack            68.00     58.00     51.00    177.00     59.00
stonewall                27.00     33.00     31.00     91.00     30.33
